Cited_app_nbr,App_nbr_x,count,Longitude,Latitude,App_nbr_y,end_Longitude,end_Latitude,count_sum,cited_Longitude,cited_Latitude,log,size
EP20050251841,EP20150150476,2,-0.135641,51.498091,EP20050251841,-0.135641,51.498091,,,,,
EP20020251830,EP20060252225,4,-0.135641,51.498091,EP20020251830,-0.135641,51.498091,,,,,
EP20020251830,EP20100174256,4,-0.135641,51.498091,EP20020251830,-0.135641,51.498091,,,,,
EP20020251830,EP20110156446,2,-0.135641,51.498091,EP20020251830,-0.135641,51.498091,,,,,
EP20030251478,EP20060252225,2,-0.135641,51.498091,EP20030251478,-0.135641,51.498091,,,,,
EP20030251478,EP20110156446,2,-0.135641,51.498091,EP20030251478,-0.135641,51.498091,,,,,
EP20050252279,EP20110156446,2,-0.135641,51.498091,EP20050252279,-0.135641,51.498091,,,,,
EP20050252279,EP20100161135,3,-0.135641,51.498091,EP20050252279,-0.135641,51.498091,,,,,
EP20050252279,EP20100161137,3,-0.135641,51.498091,EP20050252279,-0.135641,51.498091,,,,,
EP20060252225,EP20110156446,2,-0.135641,51.498091,EP20060252225,-0.135641,51.498091,,,,,
EP20060252225,EP20140187610,4,-0.135641,51.498091,EP20060252225,-0.135641,51.498091,,,,,
EP20070251986,EP20110156446,2,-0.135641,51.498091,EP20070251986,-0.135641,51.498091,,,,,
EP20020254742,EP20040254814,2,-0.135641,51.498091,EP20020254742,-0.135641,51.498091,,,,,
EP20020255785,EP20050253427,7,-0.135641,51.498091,EP20020255785,-0.135641,51.498091,,,,,
EP20020255785,EP20070254883,8,-0.135641,51.498091,EP20020255785,-0.135641,51.498091,,,,,
EP20020255791,EP20050253427,7,-0.135641,51.498091,EP20020255791,-0.135641,51.498091,,,,,
EP20020255799,EP20050253427,7,-0.135641,51.498091,EP20020255799,-0.135641,51.498091,,,,,
EP20020255947,EP20050253427,7,-0.135641,51.498091,EP20020255947,-0.135641,51.498091,,,,,
EP20020255948,EP20050253427,7,-0.135641,51.498091,EP20020255948,-0.135641,51.498091,,,,,
EP20020255948,EP20030250483,7,-0.135641,51.498091,EP20020255948,-0.135641,51.498091,,,,,
EP20030256228,EP20130196116,4,-0.135641,51.498091,EP20030256228,-0.135641,51.498091,,,,,
EP20030256548,EP20060250639,2,-0.135641,51.498091,EP20030256548,-0.135641,51.498091,,,,,
EP20040255353,EP20060252925,2,-0.135641,51.498091,EP20040255353,-0.135641,51.498091,,,,,
EP20040255573,EP20060251567,7,-0.135641,51.498091,EP20040255573,-0.135641,51.498091,,,,,
EP20060255966,EP20160183430,5,-2.574941,51.509749,EP20060255966,-0.135641,51.498091,,,,,
EP20120152501,EP20150150476,2,-0.135641,51.498091,EP20120152501,-0.135641,51.498091,,,,,
EP20120152501,EP20140190217,5,-0.135641,51.498091,EP20120152501,-0.135641,51.498091,,,,,
EP20120152501,EP20150150592,2,-0.135641,51.498091,EP20120152501,-0.135641,51.498091,,,,,
EP20130151240,EP20150150476,2,-0.135641,51.498091,EP20130151240,-0.135641,51.498091,,,,,
EP20130151240,EP20150150592,2,-0.135641,51.498091,EP20130151240,-0.135641,51.498091,,,,,
EP20130151240,EP20150165964,6,-0.135641,51.498091,EP20130151240,-0.135641,51.498091,,,,,
EP20130151240,EP20150183903,3,-0.135641,51.498091,EP20130151240,-0.135641,51.498091,,,,,
EP20130151240,EP20150185411,3,-0.135641,51.498091,EP20130151240,-0.135641,51.498091,,,,,
EP20050253428,EP20070252424,4,-0.125447,51.505644,EP20050253428,-0.135641,51.498091,,,,,
EP20060250618,EP20150188503,7,-0.135641,51.498091,EP20060250618,-0.135641,51.498091,,,,,
EP20060256173,EP20150160744,5,-0.145196,51.517882,EP20060256173,-0.135641,51.498091,,,,,
EP20070251594,EP20140172511,3,-0.135641,51.498091,EP20070251594,-0.135641,51.498091,,,,,
EP20120193313,EP20140172511,3,-0.135641,51.498091,EP20120193313,-0.135641,51.498091,,,,,
EP20120193313,EP20140180787,10,-0.135641,51.498091,EP20120193313,-0.135641,51.498091,,,,,
EP20070252526,EP20100192595,7,-0.135641,51.498091,EP20070252526,-0.135641,51.498091,,,,,
EP20100157758,EP20160171831,6,-2.574941,51.509749,EP20100157758,-0.135641,51.498091,,,,,
EP20100167133,EP20150198558,1,-0.145196,51.517882,EP20100167133,-0.135641,51.498091,,,,,
EP20100167135,EP20150187691,7,-0.135641,51.498091,EP20100167135,-0.135641,51.498091,,,,,
EP20100167136,EP20150173648,5,-0.135641,51.498091,EP20100167136,-0.135641,51.498091,,,,,
EP20110166323,EP20150173648,5,-0.135641,51.498091,EP20110166323,-0.135641,51.498091,,,,,
EP20110172843,EP20150173648,5,-0.135641,51.498091,EP20110172843,-0.135641,51.498091,,,,,
EP20100168231,EP20130150392,10,-0.135641,51.498091,EP20100168231,-0.135641,51.498091,,,,,
EP20100169974,EP20140151153,2,-0.135641,51.498091,EP20100169974,-0.135641,51.498091,,,,,
EP20100172600,EP20140151153,2,-0.135641,51.498091,EP20100172600,-0.135641,51.498091,,,,,
EP20100172600,EP20120152501,4,-0.135641,51.498091,EP20100172600,-0.135641,51.498091,,,,,
EP20100172600,EP20120152503,4,-0.135641,51.498091,EP20100172600,-0.135641,51.498091,,,,,
EP20100172600,EP20120189778,3,-0.135641,51.498091,EP20100172600,-0.135641,51.498091,,,,,
